"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2016-12-09,1.4,4.2,14:16,-2.9,23:00,7.1
"		108",서울,2016-12-10,-1.6,3.6,14:23,-5.9,7:23,9.5
"		108",서울,2016-12-11,-1.1,6.4,15:36,-6.1,7:42,12.5
"		108",서울,2016-12-12,2.3,6.3,14:49,-3,0:21,9.3
"		108",서울,2016-12-13,3.4,8.8,13:01,-0.4,23:57,9.2
"		108",서울,2016-12-14,-1.4,-0.1,16:19,-2.3,23:59,2.2
"		108",서울,2016-12-15,-5,-1.5,14:59,-7.6,7:54,6.1
"		108",서울,2016-12-16,-4.7,0,14:29,-9.8,7:52,9.8
"		108",서울,2016-12-17,2.7,8,15:14,-2.7,3:39,10.7
"		108",서울,2016-12-18,4.9,8.1,14:52,2.7,4:06,5.4
"		108",서울,2016-12-19,7.2,12,15:01,4.3,1:00,7.7
"		108",서울,2016-12-20,7.6,13.6,14:43,4.4,8:26,9.2
"		108",서울,2016-12-21,7.9,12.6,13:23,4.1,3:50,8.5
"		108",서울,2016-12-22,5.5,11,5:30,1.5,23:47,9.5
"		108",서울,2016-12-23,-2.5,1.5,0:01,-4.4,22:54,5.9
"		108",서울,2016-12-24,-2.4,1.1,14:22,-4.3,0:01,5.4
"		108",서울,2016-12-25,1,6.4,13:52,-4.5,8:00,10.9
"		108",서울,2016-12-26,2.5,4.4,13:53,1.3,23:49,3.1
"		108",서울,2016-12-27,-2.3,1.3,0:01,-6.3,23:57,7.6
"		108",서울,2016-12-28,-3.7,2.6,14:35,-8.4,6:14,11
"		108",서울,2016-12-29,-4.2,-1.1,15:31,-7.2,23:56,6.1
"		108",서울,2016-12-30,-3.9,1,14:39,-9.1,5:56,10.1
"		108",서울,2016-12-31,0.7,5.7,15:35,-3.6,4:54,9.3
"		108",서울,2017-12-01,-2.2,3.1,14:02,-7.6,7:35,10.7
"		108",서울,2017-12-02,1.9,8.1,14:40,-4.6,6:29,12.7
"		108",서울,2017-12-03,4.9,8.1,15:13,3.1,6:20,5
"		108",서울,2017-12-04,-1.2,4.5,1:26,-6.1,23:40,10.6
"		108",서울,2017-12-05,-4.2,-0.4,14:22,-8.2,8:08,7.8
"		108",서울,2017-12-06,0.2,6,14:10,-4.5,7:23,10.5
"		108",서울,2017-12-07,0.7,4.6,13:55,-3.5,23:50,8.1
"		108",서울,2017-12-08,-3.8,-0.5,15:32,-7.1,8:06,6.6
"		108",서울,2017-12-09,-0.5,5.4,15:22,-5.6,7:10,11
"		108",서울,2017-12-10,1.1,6.7,14:41,-2.5,23:59,9.2
"		108",서울,2017-12-11,-7,-2.5,0:01,-11,23:30,8.5
"		108",서울,2017-12-12,-9.4,-5.2,14:06,-12.3,7:50,7.1
"		108",서울,2017-12-13,-8.7,-4.4,14:04,-12,6:02,7.6
"		108",서울,2017-12-14,-6.6,-1.9,15:26,-11.2,4:16,9.3
"		108",서울,2017-12-15,-3,0.9,19:46,-7.5,4:45,8.4
"		108",서울,2017-12-16,-5.7,-2.6,0:01,-8.1,23:56,5.5
"		108",서울,2017-12-17,-6.7,-2.3,15:29,-10.8,8:25,8.5
"		108",서울,2017-12-18,-1.6,3.3,19:59,-5.9,0:01,9.2
"		108",서울,2017-12-19,-3.9,-1,0:01,-6.5,23:59,5.5
"		108",서울,2017-12-20,-3.9,-0.1,14:52,-8.5,3:56,8.4
"		108",서울,2017-12-21,-0.9,4.6,15:36,-5.6,7:35,10.2
"		108",서울,2017-12-22,3.4,6.6,15:10,-1.9,0:20,8.5
"		108",서울,2017-12-23,6.1,8.7,14:04,5,4:45,3.7
"		108",서울,2017-12-24,2.9,5.7,0:05,-0.6,24:00:00,6.3
"		108",서울,2017-12-25,-2.1,0.6,15:02,-4.9,7:49,5.5
"		108",서울,2017-12-26,-3.8,-1.1,11:57,-7.9,23:56,6.8
"		108",서울,2017-12-27,-6.9,-2.6,15:17,-10.3,8:26,7.7
"		108",서울,2017-12-28,-2.1,0.8,12:48,-6.8,2:22,7.6
"		108",서울,2017-12-29,2.1,6,14:23,-0.4,23:47,6.4
"		108",서울,2017-12-30,1.4,4.5,14:15,-1.2,3:30,5.7
"		108",서울,2017-12-31,-0.3,3.3,14:26,-3.2,23:56,6.5
"		108",서울,2018-12-01,5.5,12.4,15:24,0.8,4:05,11.6
"		108",서울,2018-12-02,8.2,11.8,15:32,2.8,3:02,9
"		108",서울,2018-12-03,11.5,13.5,18:22,9.3,6:43,4.2
"		108",서울,2018-12-04,6.7,11.8,0:02,-0.3,24:00:00,12.1
