movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew,genres,directors,actors,showTm,watchGradeNm,nations
20040659,돈 텔 파파,2004-09-03,142682,902219500,5,NEW,코미디,이상훈,"정웅인,유승호,채민서,이종수,이유진",102,15세관람가,한국
20040648,에이리언 VS 프레데터,2004-09-03,98697,629101000,7,NEW,SF,폴 W.S. 앤더슨,"라울 보바,산나 라단,랜스 헨릭슨",90,15세관람가,미국
20040581,퀸카로 살아남는 법,2004-09-03,47517,308926000,8,NEW,코미디,마크 S. 워터스,"린제이 로한,레이첼 맥아담스",97,15세관람가,미국
20040608,거미숲,2004-09-03,42055,273950500,10,OLD,"미스터리,범죄",송일곤,"감우성,김희정,강경헌,서정,장현성",113,18세관람가,한국
20040640,연인,2004-09-10,430281,2780917500,1,NEW,"멜로/로맨스,액션",장예모,"금성무,유덕화,장쯔이",119,12세관람가,중국
20040649,귀신이 산다,2004-09-17,434211,2751677000,1,OLD,"코미디,공포(호러),판타지",김상진,"장서희,차승원,김응수,김서현,장항선",123,12세관람가,한국
20040642,80일간의 세계 일주,2004-09-17,139498,885659000,4,NEW,"코미디,드라마,어드벤처,액션",프랑코 코라시,"성룡,세실 드 프랑스",90,,미국
20040619,슈퍼스타 감사용,2004-09-17,136368,892894500,5,OLD,드라마,김종현,"이범수,공유,윤진서,류승수,하정우",115,전체관람가,한국
20040651,꽃피는 봄이 오면,2004-09-23,136488,877172500,4,NEW,드라마,류장하,"최민식,이동진,장신영,김호정,김강우",128,12세관람가,한국
20040650,빌리지,2004-09-24,105321,695110000,7,NEW,공포(호러),M. 나이트 샤말란,"호아킨 피닉스,브라이스 달라스 하워드",108,12세관람가,미국
20040669,캣우먼,2004-09-24,64847,421935500,8,NEW,액션,피토프,"할리 베리,벤자민 브랫",105,12세관람가,미국
20040670,맨 온 파이어,2004-09-24,58065,374072000,9,OLD,액션,토니 스콧,"덴젤 워싱턴,다코타 패닝",147,15세관람가,미국
20040676,스텝포드 와이프,2004-10-01,55364,371560500,10,OLD,코미디,프랭크 오즈,"니콜 키드먼,매튜 브로데릭,베트 미들러,글렌 클로즈",93,15세관람가,미국
20040628,우리 형,2004-10-08,487280,3071176500,1,NEW,드라마,안권태,"원빈,조성제,신하균,김해숙,김석",112,15세관람가,한국
20040656,세상의 중심에서 사랑을 외치다,2004-10-08,110069,711609500,3,NEW,멜로/로맨스,유키사다 이사오,"나가사와 마사미,오사와 타카오,시바사키 코우",138,12세관람가,일본
20040655,콜래트럴,2004-10-15,210152,1379747500,2,NEW,액션,마이클 만,"톰 크루즈,제이미 폭스,제이다 핀켓 스미스,마크 러팔로",120,15세관람가,미국
20040690,2046,2004-10-15,57143,374205500,5,NEW,드라마,왕가위,"양조위,공리,왕비,기무라 다쿠야,장쯔이",128,18세관람가,홍콩
