movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew
20210590,카시오페아,2022-06-01,14493,136076300,6,OLD
20224468,애프터 양,2022-06-01,12717,130413470,7,OLD
20224891,특수요원 빼꼼,2022-06-01,7002,64881100,8,OLD
20206257,브로커,2022-06-08,6143,56258000,9,NEW
20194376,탑건: 매버릭,2022-06-22,5556,73248400,8,NEW
20224882,마녀(魔女) Part2. The Other One,2022-06-15,1458090,15083453910,1,OLD
20223839,버즈 라이트이어,2022-06-15,205764,2196623890,4,NEW
20210843,실종,2022-06-15,5506,55498300,10,OLD
20225114,극장판 윌벤져스 : 수상한 캠핑 대소동,2022-06-23,15059,150648000,7,OLD
20209654,헤어질 결심,2022-06-29,10217,92767000,9,NEW
20224757,룸 쉐어링,2022-06-22,10293,88382690,10,OLD
20212317,컴온 컴온,2022-06-30,7534,76013600,10,OLD
20224662,토르: 러브 앤 썬더,2022-07-06,1764656,19227538810,1,OLD
20211321,빅샤크4: 바다공룡 대모험,2022-07-06,42122,391232380,6,OLD
19978805,큐어,2022-07-06,11442,122001600,7,OLD
20225994,BIFAN2022 부천 초이스: 단편 1, ,5660,28300000,10,NEW
20225237,명탐정 코난: 할로윈의 신부,2022-07-13,216742,2254881920,4,OLD
20225175,엘비스,2022-07-13,55596,595377760,6,OLD
20225186,더 킬러: 죽어도 되는 아이,2022-07-13,44394,459481040,7,OLD
20225180,뒤틀린 집,2022-07-13,24304,238512700,9,OLD
20208446,외계+인 1부,2022-07-20,913260,9683434081,1,OLD
20205362,미니언즈2,2022-07-20,833471,8259111601,2,OLD
20224791,그레이 맨,2022-07-13,25480,246156860,10,OLD
20209343,한산: 용의 출현,2022-07-27,2269575,23390019692,1,OLD
20225190,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,171524,1634820635,5,OLD
20196410,비상선언,2022-08-03,15763,147489916,9,NEW
20225293,썸머 필름을 타고!,2022-07-20,20468,195879920,10,OLD
20226107,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,2022-08-03,36417,346253298,8,OLD
20211792,헌트,2022-08-10,16570,166287798,10,OLD
20224965,DC 리그 오브 슈퍼-펫,2022-08-10,124811,1172935301,6,OLD
20226034,바다 탐험대 옥토넛 : 탐험선 대작전,2022-08-11,32323,305587000,9,OLD
20219345,놉,2022-08-17,253835,2912842190,3,OLD
20217826,육사오(6/45),2022-08-24,479282,4951886281,2,OLD
20225448,불릿 트레인,2022-08-24,109326,1220649475,6,OLD
20208721,리미트,2022-08-31,58955,550817703,5,NEW
20225892,시맨틱 에러: 더 무비,2022-08-31,29314,353096300,10,OLD
20215601,공조2: 인터내셔날,2022-09-07,2611091,27071535309,1,OLD
20226444,극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,61477,579168101,5,OLD
20212709,블랙폰,2022-09-07,70021,718614978,7,OLD
20226125,"어쩌다 공주, 닭냥이 왕자를 부탁해!",2022-09-08,18858,184583891,9,OLD
20226879,인생은 뷰티풀: 비타돌체,2022-09-07,18267,631033500,10,NEW
20211472,늑대사냥,2022-09-21,324800,3406100226,2,NEW
20226957,아바타 리마스터링,2022-09-21,112990,1834354940,3,NEW
20219628,정직한 후보2,2022-09-28,32739,346499583,5,NEW
20226751,극장판 5등분의 신부,2022-09-22,23360,262819900,6,NEW
20198317,인생은 아름다워,2022-09-28,30587,316214597,8,OLD
20196776,프린세스 아야,2022-09-21,13493,112473397,10,OLD
20226777,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,150912,1504509257,4,OLD
20226670,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,93037,881657016,6,OLD
20217624,컴백홈,2022-10-05,7716,69484000,10,OLD
20225729,스마일,2022-10-06,48921,528985088,6,OLD
20226739,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,28056,253017713,9,NEW
20227304,오펀: 천사의 탄생,2022-10-12,100046,1030951923,5,OLD
20226798,에브리씽 에브리웨어 올 앳 원스,2022-10-12,49881,536140273,6,OLD
20227338,티켓 투 파라다이스,2022-10-12,42365,406395158,7,OLD
20208101,대무가,2022-10-12,43628,409579054,8,OLD
20226886,블랙 아담,2022-10-19,427964,4491610622,1,NEW
20227225,귀못,2022-10-19,27772,244045300,8,OLD
20198429,자백,2022-10-26,252994,2488489649,1,OLD
20198461,리멤버,2022-10-26,239334,2313369312,3,OLD
20226558,아인보: 아마존의 전설,2022-10-26,17633,150199244,9,OLD
20211242,고속도로 가족,2022-11-02,17106,135048700,8,OLD
20227751,가재가 노래하는 곳,2022-11-02,9671,97186684,10,OLD
20226254,블랙 팬서: 와칸다 포에버,2022-11-09,1086845,11631446648,1,NEW
20228357,극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,2022-11-10,9831,111488700,8,NEW
20217905,데시벨,2022-11-16,7487,72031997,10,OLD
20224598,동감,2022-11-16,301591,2966156476,3,OLD
20227514,폴: 600미터,2022-11-16,57014,588163431,4,OLD
20228532,한산 리덕스,2022-11-16,10883,105173528,9,OLD
20227762,올빼미,2022-11-23,817689,8210398264,1,OLD
20228190,스트레인지 월드,2022-11-23,67566,623050775,5,NEW
20228297,유포자들,2022-11-23,16160,107364600,7,OLD
